cargo_decisor,leads,wins,lost,win_rate_pct,revenue_comissao_psa,valor_total_contrato,revenue_per_lead,last_lead_date,days_since_last_lead
Auxiliar,2,2,0,100.0,27584.52,174450.0,13792.26,2026-03-19,60
Analista,224,203,21,90.6,2519986.53,10021282.01,11249.94,2026-05-15,3
Coordenador(a)/Supervisor(a),187,169,18,90.4,1980095.38,8774918.81,10588.75,2026-05-05,13
Gerente,294,272,22,92.5,2864393.39,14578140.61,9742.83,2026-05-15,2
Diretor(a),112,100,12,89.3,1085184.42,4798773.42,9689.15,2026-05-14,4
CEO/Presidente(a),33,27,6,81.8,307920.45,1288380.0,9330.92,2026-05-06,12
Assistente,13,10,3,76.9,119101.93,579500.0,9161.69,2026-01-08,130
Outro,64,62,2,96.9,344842.71,2268683.0,5388.17,2026-04-24,24
Estagiário(a),1,1,0,100.0,3080.0,15000.0,3080.0,2026-03-02,77
(sem cargo),23036,1307,21429,5.7,12818858.06,67062700.77,556.47,2026-05-17,1
