palestrante,leads,wins,lost,win_rate_pct,revenue_comissao_psa,valor_total_contrato,revenue_per_lead,last_lead_date,days_since_last_lead
Mary-Callahan,1,1,0,100.0,50500.0,65000.0,50500.0,2025-07-16,308
Thiago-Athanazio;Ricardo-Basaglia;Fabrício-Medeiros,1,1,0,100.0,48500.0,435000.0,48500.0,2025-06-24,331
Roberto-Campos-Neto,1,1,0,100.0,43200.0,248000.0,43200.0,2025-01-15,491
Gustavo-Malavota;Nelson-Freitas;Ricardo-Basaglia,1,1,0,100.0,36000.0,150000.0,36000.0,2025-05-19,366
Alexandre-Pellaes,3,2,1,66.7,101557.32,631000.0,33852.44,2026-03-18,63
Fabi-Granzotti,1,1,0,100.0,28800.0,85000.0,28800.0,2025-01-21,485
Kondzilla-.;Marcos-Piangers,1,1,0,100.0,26900.0,80000.0,26900.0,2025-05-19,366
Thiago-Pereira-,2,1,1,50.0,53500.0,115000.0,26750.0,2025-11-12,190
Camila-Achutti;Monique-Evelle,1,1,0,100.0,25000.0,200000.0,25000.0,2025-05-19,366
Cris-Arcangeli;João-Appolinário,1,1,0,100.0,24000.0,200000.0,24000.0,2025-05-19,366
Diego-Ribas;Tallis-Gomes,1,1,0,100.0,24000.0,150000.0,24000.0,2025-05-19,366
Monja-Coen;Nelson-Freitas,1,1,0,100.0,23200.0,140000.0,23200.0,2025-05-19,366
Dado-Schneider;Walter-Longo,1,1,0,100.0,23000.0,95000.0,23000.0,2025-05-19,366
Gil-Giardelli;Martha-Gabriel,1,1,0,100.0,23000.0,135000.0,23000.0,2025-05-19,366
Mauricio-Schneider;Rodrigo-Iafelice,1,1,0,100.0,22500.0,45000.0,22500.0,2025-05-19,366
Daniele-Nazari;Emanuel-Curi,1,1,0,100.0,22265.07,45000.0,22265.07,2025-05-19,366
Clodoaldo-Silva;Gabriel-Carneiro,1,1,0,100.0,22000.0,50000.0,22000.0,2025-05-19,366
Flavio-Tavares;Walter-Longo,1,1,0,100.0,21800.0,84000.0,21800.0,2025-05-19,366
Arthur-Igreja;Murilo-Gun,1,1,0,100.0,21788.0,123000.0,21788.0,2025-05-19,366
Cafu-;Tande-,1,1,0,100.0,21600.0,190000.0,21600.0,2025-05-19,366
Dado-Schneider;Richard-Stad,1,1,0,100.0,20000.0,78000.0,20000.0,2025-05-19,366
Bernard Appy,3,2,1,66.7,59500.0,97000.0,19833.33,2026-03-09,73
Mauricio-Giamellaro;Thiago-Concer,1,1,0,100.0,19600.0,92000.0,19600.0,2025-05-19,366
Emanuel-Curi;Fabrício-Werdum,1,1,0,100.0,19500.0,45000.0,19500.0,2025-05-19,366
Tiago-Pavinatto,1,1,0,100.0,19025.0,52250.0,19025.0,2025-06-17,338
Eduardo-Ibrahim,1,1,0,100.0,18900.0,58000.0,18900.0,2025-05-19,366
Kondzilla-.;Maestro-João-Carlos-Martins,1,1,0,100.0,17400.0,175000.0,17400.0,2025-05-19,366
Natuza Nery,1,1,0,100.0,17400.0,40000.0,17400.0,2026-01-29,112
Gabriela-Prioli;Leandro-Karnal,1,1,0,100.0,17300.0,140500.0,17300.0,2025-05-19,366
Emanuel-Curi;Nelson-Freitas,1,1,0,100.0,17000.0,70000.0,17000.0,2025-05-19,366
Marcus-Tonin,2,1,1,50.0,32700.0,85000.0,16350.0,2026-02-04,105
Gabriel-Carneiro;Monique-Evelle,1,1,0,100.0,16000.0,70000.0,16000.0,2025-05-19,366
Martha-Gabriel;Rick-Chesther,1,1,0,100.0,16000.0,120000.0,16000.0,2025-05-19,366
Walter-Longo;Nelson-Freitas,1,1,0,100.0,15536.47,138000.0,15536.47,2025-05-19,366
Veronica-Oliviera,1,1,0,100.0,15280.0,39200.0,15280.0,2026-01-26,115
Clovis-de-Barros-Filho,1,1,0,100.0,14738.5,52615.0,14738.5,2025-10-14,219
Jout-Jout,1,1,0,100.0,14500.0,25000.0,14500.0,2025-09-10,253
Débora-Garofalo,1,1,0,100.0,14400.0,33000.0,14400.0,2026-03-19,62
Caio-Abujadi,3,1,2,33.3,43000.0,115000.0,14333.33,2025-05-19,366
Thelma-Assis,1,1,0,100.0,14200.0,38000.0,14200.0,2025-10-08,225
Irineu-Toledo,1,1,0,100.0,14130.0,50000.0,14130.0,2025-05-19,366
Marcos-Troyjo,5,4,1,80.0,67500.0,370000.0,13500.0,2025-09-08,254
Rebeca-Andrade,2,2,0,100.0,26500.0,185000.0,13250.0,2025-05-19,366
Monique-Evelle;Bráulio-Bessa,1,1,0,100.0,13184.52,141450.0,13184.52,2025-06-09,345
Marcus-Nakagawa,3,2,1,66.7,39479.32,94000.0,13159.77,2025-05-20,365
Pedro-Pimenta,2,2,0,100.0,26123.04,115000.0,13061.52,2025-05-23,363
Bruno-Avelar,4,3,1,75.0,50526.0,255632.31,12631.5,2025-10-15,217
Renatoo Trisciuzzi,1,1,0,100.0,12424.66,32000.0,12424.66,2025-11-11,191
Fê Cortez,1,1,0,100.0,12000.0,30000.0,12000.0,2025-07-08,316
Carlos-Domingos,1,1,0,100.0,11800.0,36000.0,11800.0,2025-05-19,366
Célia-Godoy,4,2,2,50.0,46734.0,114408.0,11683.5,2025-12-16,156
Helio-Azevedo,2,2,0,100.0,23040.0,84000.0,11520.0,2025-11-19,182
Deive-Leonardo,2,1,1,50.0,22500.0,250000.0,11250.0,2025-05-19,366
Tallis-Gomes,4,1,3,25.0,44951.38,100752.0,11237.84,2026-01-05,135
Daniel-Dias;Ricardo-Basaglia,1,1,0,100.0,10880.0,53000.0,10880.0,2025-05-19,366
Serrentino,2,1,1,50.0,21200.0,68000.0,10600.0,2026-03-06,75
Andréa Vermont,1,1,0,100.0,10551.55,42000.0,10551.55,2025-07-02,322
Gabriel-Carneiro;Olga-Pontes,1,1,0,100.0,10400.0,39000.0,10400.0,2025-05-19,366
Gustavo-Borges;Mauricio-Giamellaro,1,1,0,100.0,10400.0,75000.0,10400.0,2025-05-19,366
Mauricio Louzada,1,1,0,100.0,10310.0,35000.0,10310.0,2025-07-07,318
Carlos-Busch;Tay-Dantas,2,1,1,50.0,20480.0,108000.0,10240.0,2025-05-19,366
Rubens-Barrichello,15,3,12,20.0,152010.0,1932800.0,10134.0,2025-11-07,194
Pamela-Magalhães,1,1,0,100.0,10000.0,40000.0,10000.0,2025-05-29,357
Oscar-Schmidt,5,1,4,20.0,48000.0,210000.0,9600.0,2025-10-20,213
Nizan-Guanaes,1,1,0,100.0,9600.0,120000.0,9600.0,2025-05-19,366
Tati-Mônico,1,1,0,100.0,9450.0,18000.0,9450.0,2025-05-19,366
Luciano-Burti,3,1,2,33.3,28100.0,70000.0,9366.67,2025-05-19,366
Dafna-Blaschkauer,3,2,1,66.7,27600.0,122000.0,9200.0,2025-07-02,323
Erik-Penna,2,1,1,50.0,18119.7,93333.33,9059.85,2026-01-30,110
Ciro-Bottini;Gustavo-Borges,1,1,0,100.0,8800.0,56000.0,8800.0,2025-05-19,366
Ricardo-Cavallini,3,3,0,100.0,26338.33,213390.0,8779.44,2025-06-26,328
Bernardo-Chianca,1,1,0,100.0,8724.94,50000.0,8724.94,2025-05-19,366
Cristiano-Verardo,2,1,1,50.0,17000.0,80000.0,8500.0,2025-05-19,366
Mariana-Ferrão,2,1,1,50.0,17000.0,40000.0,8500.0,2025-05-19,366
Rodrigo-Minotauro,1,1,0,100.0,8500.0,65000.0,8500.0,2025-05-29,357
Fernando-Magrin,1,1,0,100.0,8500.0,15000.0,8500.0,2025-05-30,355
Marcos-Gurgel,2,1,1,50.0,16800.0,65000.0,8400.0,2025-10-30,203
Gustavo-Loyola,17,5,12,29.4,142200.0,335000.0,8364.71,2026-02-27,83
Teco-Medina,1,1,0,100.0,8000.0,30000.0,8000.0,2025-05-19,366
Aneliz-Silva;Taís-Prass;Gabriela-Augusto,1,1,0,100.0,8000.0,51500.0,8000.0,2025-05-19,366
Atila-Iamarino,1,1,0,100.0,8000.0,35000.0,8000.0,2025-05-19,366
Zeca-de-Mello,1,1,0,100.0,8000.0,40000.0,8000.0,2025-05-19,366
Fernando-Barra,1,1,0,100.0,8000.0,24000.0,8000.0,2025-05-19,366
Vanderlei Luxemburgo,1,1,0,100.0,8000.0,0.0,8000.0,2026-01-07,134
Tiago-Mattos,3,2,1,66.7,23824.45,78309.05,7941.48,2025-10-13,219
Daniel-Sperb,2,1,1,50.0,15750.0,17500.0,7875.0,2025-07-30,294
Gustavo-Borges;Daniela-Klaiman,1,1,0,100.0,7840.0,44500.0,7840.0,2025-05-19,366
Nina-Silva,3,1,2,33.3,23000.0,100000.0,7666.67,2025-05-19,366
Maite-Schneider,1,1,0,100.0,7550.0,7550.0,7550.0,2025-05-19,366
Rosa-Alegria,1,1,0,100.0,7400.0,26000.0,7400.0,2025-05-19,366
Duda-Streb,1,1,0,100.0,7400.0,18000.0,7400.0,2025-05-19,366
Giba-,6,4,2,66.7,42929.0,255000.0,7154.83,2025-07-14,311
Samuel-Bortolin,4,2,2,50.0,28000.0,80000.0,7000.0,2025-05-19,366
Junior-Rostirola,2,1,1,50.0,14000.0,80000.0,7000.0,2025-05-19,366
Thais-Jeronimo,1,1,0,100.0,6900.0,13000.0,6900.0,2026-03-23,59
Denise-Hills,4,2,2,50.0,27353.95,110000.0,6838.49,2025-05-23,363
