segmento,leads,wins,lost,win_rate_pct,revenue_comissao_psa,valor_total_contrato,revenue_per_lead,last_lead_date,days_since_last_lead
Universidades,1,1,0,100.0,13640.0,26500.0,13640.0,2025-09-02,256
Hospitais e Laboratórios,15,13,1,86.7,191300.0,408500.0,12753.33,2026-05-15,1
Serviços Financeiros,79,57,15,72.2,945930.48,2580482.0,11973.8,2026-05-13,3
Cooperativas,44,34,9,77.3,486900.42,1681222.83,11065.92,2026-05-11,5
Consultoria,30,20,6,66.7,312979.66,943650.0,10432.66,2026-05-13,3
Mídia e Comunicação,28,23,5,82.1,271445.38,1113752.0,9694.48,2026-05-12,4
Mineração e Metalurgia,4,2,2,50.0,38400.0,76000.0,9600.0,2026-04-06,40
Produtos Químicos,5,2,1,40.0,44100.0,219000.0,8820.0,2026-04-27,19
Transporte e Logística,24,15,7,62.5,196595.62,856750.0,8191.48,2026-05-08,8
Promotores de Eventos,30,16,13,53.3,238623.57,1269000.0,7954.12,2026-05-08,8
Indústria,96,64,13,66.7,755268.68,2297750.0,7867.38,2026-05-13,3
TI e Software,70,48,13,68.6,546003.51,2070689.05,7800.05,2026-05-14,2
Agronegócio,87,70,11,80.5,674549.27,3045221.0,7753.44,2026-05-14,2
Saúde e Estética,27,20,6,74.1,203217.36,818472.11,7526.57,2026-05-14,2
Órgão Público,100,73,19,73.0,747274.62,4131072.5,7472.75,2026-05-12,4
Financeiro / Jurídico,11,8,2,72.7,77626.99,295768.98,7057.0,2026-05-12,4
Energia e Utilidade Pública,17,14,1,82.4,112759.42,641943.3,6632.91,2026-05-13,3
Alimentos e Bebidas,24,17,6,70.8,157321.44,739250.0,6555.06,2026-05-13,3
Automotivo,16,9,4,56.2,102979.37,433900.0,6436.21,2026-04-28,18
Educação,166,111,39,66.9,1038571.84,6252898.89,6256.46,2026-05-13,3
Equipamentos Médicos,5,3,2,60.0,30153.55,146000.0,6030.71,2026-04-02,44
Serviços,129,102,20,79.1,773354.86,4094981.68,5995.0,2026-05-13,3
Varejo,42,28,12,66.7,249648.85,971899.0,5944.02,2026-05-14,2
Outros,330,167,119,50.6,1779244.68,6906666.01,5391.65,2026-05-15,1
Operadoras de Saúde,27,16,7,59.3,122447.01,667258.5,4535.07,2026-05-14,2
Construbusiness,7,4,3,57.1,18558.4,72000.0,2651.2,2026-04-28,18
(sem segmento),22551,1215,21164,5.4,11980577.41,66781200.77,531.27,2026-05-15,1
