hs_analytics_source,leads,wins,lost,win_rate_pct,revenue_comissao_psa,valor_total_contrato,revenue_per_lead,last_lead_date,days_since_last_lead
SOCIAL_MEDIA,356,53,299,14.9,683880.82,2122851.5,1921.01,2026-05-15,6
OFFLINE,17372,1758,15457,10.1,18058961.55,92768988.01,1039.54,2026-05-20,0
OTHER_CAMPAIGNS,145,10,133,6.9,117947.0,452300.0,813.43,2026-05-07,13
ORGANIC_SEARCH,467,36,420,7.7,361319.94,1611498.0,773.7,2026-05-20,0
REFERRALS,255,14,235,5.5,189839.62,473085.98,744.47,2026-05-15,6
AI_REFERRALS,29,1,28,3.4,17100.0,39000.0,589.66,2026-02-09,101
DIRECT_TRAFFIC,1469,90,1346,6.1,835990.74,3478735.83,569.09,2026-05-20,0
PAID_SEARCH,3320,181,3052,5.5,1866787.49,7638230.3,562.29,2026-05-20,0
PAID_SOCIAL,448,14,431,3.1,112410.41,623999.0,250.92,2026-05-12,9
(sem source),178,15,160,8.4,34402.0,539000.0,193.27,2026-05-20,0
